Sample_Index,Log_Probability,Anomaly_Score,Ground_Truth,Predicted,Ground_Truth_Label,Predicted_Label,Polymer_Type
0,-25.247686,25.247686,0,0,NORMAL,NORMAL,Polyethylene
1,-12.226986,12.226986,0,0,NORMAL,NORMAL,Polyethylene
2,-11.839151,11.839151,0,0,NORMAL,NORMAL,Polyethylene
3,-39.099697,39.099697,0,0,NORMAL,NORMAL,Polyamide
4,-38.784676,38.784676,0,0,NORMAL,NORMAL,Sucrose
5,-36.10079,36.10079,0,0,NORMAL,NORMAL,Polystyrene
6,-41.876057,41.876057,0,1,NORMAL,ANOMALY,Polyethylene
7,-24.523893,24.523893,0,0,NORMAL,NORMAL,NH2SO4
8,-10.687773,10.687773,0,0,NORMAL,NORMAL,Polyethylene
9,-17.85305,17.85305,0,0,NORMAL,NORMAL,Polystyrene
10,-31.66507,31.66507,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
11,-38.732323,38.732323,0,0,NORMAL,NORMAL,NH2SO4
12,-50.63316,50.63316,0,1,NORMAL,ANOMALY,Polyurethane
13,-19.091604,19.091604,0,0,NORMAL,NORMAL,Polystyrene
14,-28.991833,28.991833,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
15,-12.095769,12.095769,0,0,NORMAL,NORMAL,Polyethylene
16,-35.395992,35.395992,0,0,NORMAL,NORMAL,Sucrose
17,-65.56214,65.56214,0,1,NORMAL,ANOMALY,Sucrose
18,-11.201334,11.201334,0,0,NORMAL,NORMAL,Polyethylene
19,-20.881046,20.881046,0,0,NORMAL,NORMAL,Polyethylene
20,-59.91423,59.91423,0,1,NORMAL,ANOMALY,Polystyrene
21,-10.563638,10.563638,0,0,NORMAL,NORMAL,Polyethylene
22,-40.67899,40.67899,0,1,NORMAL,ANOMALY,Polylactic acid
23,-35.57288,35.57288,0,0,NORMAL,NORMAL,NaNO3
24,-42.28951,42.28951,0,1,NORMAL,ANOMALY,Acrylonitrile Butadiene Styrene
25,-42.01805,42.01805,0,1,NORMAL,ANOMALY,Acrylic
26,-43.084743,43.084743,0,1,NORMAL,ANOMALY,Sucrose
