run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
1,run_0001,32,0.3,24,0.0003,5,4,20,0.9,0.0001,0.9217,0.8491,0.8182,0.8333,0.9674,0.8932,122.8487,99.5441,23.7923,100,18.7,85,56,29,32.25,45,8,167,10
2,run_0002,32,0.3,24,0.0003,5,8,20,0.9,0.0001,0.887,0.7164,0.8727,0.7869,0.9441,0.8306,115.6477,82.9949,35.2155,81,28.0,85,56,29,32.25,48,19,156,7
3,run_0003,32,0.3,24,0.0003,8,4,20,0.9,0.0001,0.8957,0.7067,0.9636,0.8154,0.962,0.8843,124.3899,100.2738,24.4174,117,26.5,85,56,29,32.25,53,22,153,2
4,run_0004,32,0.3,24,0.0003,8,8,20,0.9,0.0001,0.913,0.7778,0.8909,0.8305,0.9664,0.8973,126.686,85.9583,43.1091,90,53.7,85,56,29,32.25,49,14,161,6
5,run_0005,32,0.3,24,0.0005,5,4,20,0.9,0.0001,0.9391,0.8727,0.8727,0.8727,0.9708,0.9043,121.2766,95.2567,27.3195,86,15.7,85,56,29,32.25,48,7,168,7
6,run_0006,32,0.3,24,0.0005,5,8,20,0.9,0.0001,0.9348,0.8333,0.9091,0.8696,0.9784,0.9276,114.1853,80.2798,34.937,73,25.7,85,56,29,32.25,50,10,165,5
7,run_0007,32,0.3,24,0.0005,8,4,20,0.9,0.0001,0.9087,0.75,0.9273,0.8293,0.9559,0.8428,130.4739,102.2257,29.341,58,12.0,85,56,29,32.25,51,17,158,4
8,run_0008,32,0.3,24,0.0005,8,8,20,0.9,0.0001,0.9217,0.7846,0.9273,0.85,0.9586,0.8448,124.199,82.2734,48.1608,79,33.7,85,56,29,32.25,51,14,161,4
9,run_0009,32,0.3,32,0.0003,5,4,20,0.9,0.0001,0.9,0.7222,0.9455,0.8189,0.9638,0.8629,123.0887,97.6368,26.4862,70,14.8,85,56,29,32.25,52,20,155,3
10,run_0010,32,0.3,32,0.0003,5,8,20,0.9,0.0001,0.9348,0.8448,0.8909,0.8673,0.9726,0.8837,116.5546,80.1599,37.9936,67,28.8,85,56,29,32.25,49,9,166,6
11,run_0011,32,0.3,32,0.0003,8,4,20,0.9,0.0001,0.9087,0.7833,0.8545,0.8174,0.9625,0.8848,127.6128,97.6516,31.3301,99,23.4,85,56,29,32.25,47,13,162,8
12,run_0012,32,0.3,32,0.0003,8,8,20,0.9,0.0001,0.913,0.807,0.8364,0.8214,0.959,0.8565,124.5939,80.8482,48.6225,87,41.1,85,56,29,32.25,46,11,164,9
13,run_0013,32,0.3,32,0.0005,5,4,20,0.9,0.0001,0.9261,0.8167,0.8909,0.8522,0.9758,0.927,122.1862,90.8812,32.6189,69,12.7,85,56,29,32.25,49,11,164,6
14,run_0014,32,0.3,32,0.0005,5,8,20,0.9,0.0001,0.9217,0.8033,0.8909,0.8448,0.9661,0.8726,115.4469,75.6178,43.2588,65,22.2,85,56,29,32.25,49,12,163,6
15,run_0015,32,0.3,32,0.0005,8,4,20,0.9,0.0001,0.9174,0.7812,0.9091,0.8403,0.9596,0.864,130.2816,100.8134,31.606,49,12.7,85,56,29,32.25,50,14,161,5
16,run_0016,32,0.3,32,0.0005,8,8,20,0.9,0.0001,0.9,0.7286,0.9273,0.816,0.9611,0.875,128.284,80.831,52.1213,65,30.9,85,56,29,32.25,51,19,156,4
17,run_0017,32,0.3,64,0.0003,5,4,20,0.9,0.0001,0.9217,0.8033,0.8909,0.8448,0.9658,0.8781,126.2768,91.0519,38.3891,49,10.9,85,56,29,32.25,49,12,163,6
18,run_0018,32,0.3,64,0.0003,5,8,20,0.9,0.0001,0.8913,0.7143,0.9091,0.8,0.9553,0.8347,117.5927,75.1594,43.9274,46,17.5,85,56,29,32.25,50,20,155,5
19,run_0019,32,0.3,64,0.0003,8,4,20,0.9,0.0001,0.9217,0.8491,0.8182,0.8333,0.9653,0.8955,132.8284,92.7002,41.9807,59,12.7,85,56,29,32.25,45,8,167,10
20,run_0020,32,0.3,64,0.0003,8,8,20,0.9,0.0001,0.9261,0.8276,0.8727,0.8496,0.9675,0.883,132.5764,77.4147,64.6446,59,27.8,85,56,29,32.25,48,10,165,7
21,run_0021,32,0.3,64,0.0005,5,4,20,0.9,0.0001,0.9174,0.8103,0.8545,0.8319,0.9665,0.884,125.1717,87.4194,42.4842,48,9.4,85,56,29,32.25,47,11,164,8
22,run_0022,32,0.3,64,0.0005,5,8,20,0.9,0.0001,0.913,0.7692,0.9091,0.8333,0.9579,0.861,120.4728,70.7083,52.6292,47,17.4,85,56,29,32.25,50,15,160,5
23,run_0023,32,0.3,64,0.0005,8,4,20,0.9,0.0001,0.913,0.7465,0.9636,0.8413,0.9622,0.8517,136.1952,86.3207,55.8226,60,12.8,85,56,29,32.25,53,18,157,2
24,run_0024,32,0.3,64,0.0005,8,8,20,0.9,0.0001,0.9217,0.8246,0.8545,0.8393,0.9623,0.8732,126.9906,71.1308,61.755,60,26.3,85,56,29,32.25,47,10,165,8
25,run_0025,32,0.4,24,0.0003,5,4,20,0.9,0.0001,0.9174,0.75,0.9818,0.8504,0.9719,0.9007,122.9484,99.8905,24.0635,97,17.3,85,56,29,32.25,54,18,157,1
26,run_0026,32,0.4,24,0.0003,5,8,20,0.9,0.0001,0.9174,0.8,0.8727,0.8348,0.9645,0.878,114.5648,82.9534,33.0911,78,27.3,85,56,29,32.25,48,12,163,7
27,run_0027,32,0.4,24,0.0003,8,4,20,0.9,0.0001,0.913,0.807,0.8364,0.8214,0.9568,0.8556,136.584,105.797,33.2524,78,16.2,85,56,29,32.25,46,11,164,9
28,run_0028,32,0.4,24,0.0003,8,8,20,0.9,0.0001,0.9217,0.8776,0.7818,0.8269,0.9657,0.8859,121.8399,89.8593,36.4036,74,29.3,85,56,29,32.25,43,6,169,12
29,run_0029,32,0.4,24,0.0005,5,4,20,0.9,0.0001,0.9435,0.9038,0.8545,0.8785,0.9745,0.9272,120.9459,96.2005,26.9866,82,15.3,85,56,29,32.25,47,5,170,8
30,run_0030,32,0.4,24,0.0005,5,8,20,0.9,0.0001,0.9217,0.8364,0.8364,0.8364,0.9626,0.8779,113.3361,78.8357,37.9104,79,28.0,85,56,29,32.25,46,9,166,9
31,run_0031,32,0.4,24,0.0005,8,4,20,0.9,0.0001,0.9217,0.8364,0.8364,0.8364,0.9699,0.8976,126.64,96.0054,31.6057,94,20.3,85,56,29,32.25,46,9,166,9
32,run_0032,32,0.4,24,0.0005,8,8,20,0.9,0.0001,0.8957,0.7313,0.8909,0.8033,0.9473,0.8083,126.647,87.2205,43.3207,57,23.6,85,56,29,32.25,49,18,157,6
33,run_0033,32,0.4,32,0.0003,5,4,20,0.9,0.0001,0.9348,0.8333,0.9091,0.8696,0.9734,0.9274,120.2111,91.6979,29.0017,120,20.8,85,56,29,32.25,50,10,165,5
34,run_0034,32,0.4,32,0.0003,5,8,20,0.9,0.0001,0.8957,0.7123,0.9455,0.8125,0.9561,0.8637,116.8309,82.872,35.0486,54,19.2,85,56,29,32.25,52,21,154,3
35,run_0035,32,0.4,32,0.0003,8,4,20,0.9,0.0001,0.8913,0.7083,0.9273,0.8031,0.9583,0.8604,130.2041,99.2367,32.9773,95,19.9,85,56,29,32.25,51,21,154,4
