run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
1,run_0001,32,0.3,24,0.0003,5,4,20,0.9,0.0001,0.9391,0.8475,0.9091,0.8772,0.9694,0.8943,122.2943,96.92,26.1147,112,27.8,85,56,29,32.25,50,9,166,5
2,run_0002,32,0.3,24,0.0003,5,8,20,0.9,0.0001,0.9087,0.7361,0.9636,0.8346,0.9612,0.8415,114.1852,83.2714,31.5098,78,32.6,85,56,29,32.25,53,19,156,2
3,run_0003,32,0.3,24,0.0003,8,4,20,0.9,0.0001,0.8957,0.6962,1.0,0.8209,0.9645,0.8655,131.0301,102.6115,29.0976,120,27.0,85,56,29,32.25,55,24,151,0
4,run_0004,32,0.3,24,0.0003,8,8,20,0.9,0.0001,0.8826,0.6842,0.9455,0.7939,0.9478,0.8289,125.0067,87.0951,42.0645,96,44.7,85,56,29,32.25,52,24,151,3
5,run_0005,32,0.3,24,0.0005,5,4,20,0.9,0.0001,0.9087,0.7429,0.9455,0.832,0.974,0.9206,121.941,95.0261,28.6466,83,17.3,85,56,29,32.25,52,18,157,3
6,run_0006,32,0.3,24,0.0005,5,8,20,0.9,0.0001,0.8957,0.7013,0.9818,0.8182,0.9655,0.8961,113.9192,78.245,37.6499,76,31.1,85,56,29,32.25,54,23,152,1
7,run_0007,32,0.3,24,0.0005,8,4,20,0.9,0.0001,0.9304,0.8095,0.9273,0.8644,0.9788,0.9364,128.9333,96.9384,33.2886,85,19.3,85,56,29,32.25,51,12,163,4
8,run_0008,32,0.3,24,0.0005,8,8,20,0.9,0.0001,0.9,0.7162,0.9636,0.8217,0.9576,0.8596,121.1806,84.4098,40.0937,65,30.3,85,56,29,32.25,53,21,154,2
9,run_0009,32,0.3,32,0.0003,5,4,20,0.9,0.0001,0.887,0.6883,0.9636,0.803,0.9665,0.9033,124.0512,94.948,31.269,82,17.1,85,56,29,32.25,53,24,151,2
10,run_0010,32,0.3,32,0.0003,5,8,20,0.9,0.0001,0.8783,0.6667,0.9818,0.7941,0.9598,0.8724,113.9137,76.255,40.2364,83,38.3,85,56,29,32.25,54,27,148,1
11,run_0011,32,0.3,32,0.0003,8,4,20,0.9,0.0001,0.9043,0.726,0.9636,0.8281,0.9571,0.8498,134.765,104.1143,36.1307,68,16.6,85,56,29,32.25,53,20,155,2
12,run_0012,32,0.3,32,0.0003,8,8,20,0.9,0.0001,0.9043,0.72,0.9818,0.8308,0.9683,0.8887,125.3335,86.5365,40.1487,68,37.5,85,56,29,32.25,54,21,154,1
13,run_0013,32,0.3,32,0.0005,5,4,20,0.9,0.0001,0.8783,0.6709,0.9636,0.791,0.963,0.8632,121.8746,93.2774,29.1978,61,13.0,85,56,29,32.25,53,26,149,2
14,run_0014,32,0.3,32,0.0005,5,8,20,0.9,0.0001,0.887,0.6835,0.9818,0.806,0.9654,0.886,116.0024,76.2715,44.4219,70,34.4,85,56,29,32.25,54,25,150,1
15,run_0015,32,0.3,32,0.0005,8,4,20,0.9,0.0001,0.8783,0.6667,0.9818,0.7941,0.9677,0.9062,131.3753,98.9158,35.7574,58,13.2,85,56,29,32.25,54,27,148,1
16,run_0016,32,0.3,32,0.0005,8,8,20,0.9,0.0001,0.8826,0.675,0.9818,0.8,0.9636,0.8913,125.1032,86.9118,39.3307,48,23.0,85,56,29,32.25,54,26,149,1
17,run_0017,32,0.3,64,0.0003,5,4,20,0.9,0.0001,0.9,0.7105,0.9818,0.8244,0.9778,0.931,123.8221,86.9756,40.0298,58,13.7,85,56,29,32.25,54,22,153,1
18,run_0018,32,0.3,64,0.0003,5,8,20,0.9,0.0001,0.9,0.7353,0.9091,0.813,0.961,0.8836,118.1827,71.1285,49.7456,54,24.5,85,56,29,32.25,50,18,157,5
19,run_0019,32,0.3,64,0.0003,8,4,20,0.9,0.0001,0.9174,0.7571,0.9636,0.848,0.967,0.8892,135.4196,95.4218,43.9537,55,14.7,85,56,29,32.25,53,17,158,2
20,run_0020,32,0.3,64,0.0003,8,8,20,0.9,0.0001,0.9087,0.75,0.9273,0.8293,0.9695,0.9146,131.8159,80.1198,59.101,51,26.5,85,56,29,32.25,51,17,158,4
21,run_0021,32,0.3,64,0.0005,5,4,20,0.9,0.0001,0.9174,0.7571,0.9636,0.848,0.9769,0.9353,125.7569,88.4962,41.1846,43,10.4,85,56,29,32.25,53,17,158,2
22,run_0022,32,0.3,64,0.0005,5,8,20,0.9,0.0001,0.9,0.7105,0.9818,0.8244,0.9547,0.8281,118.1968,69.4277,52.3449,55,25.7,85,56,29,32.25,54,22,153,1
23,run_0023,32,0.3,64,0.0005,8,4,20,0.9,0.0001,0.8739,0.6625,0.9636,0.7852,0.9565,0.8652,138.2843,92.8168,48.0744,44,12.0,85,56,29,32.25,53,27,148,2
24,run_0024,32,0.3,64,0.0005,8,8,20,0.9,0.0001,0.887,0.6883,0.9636,0.803,0.9725,0.9222,126.5473,70.6506,63.0502,65,37.7,85,56,29,32.25,53,24,151,2
25,run_0025,32,0.4,24,0.0003,5,4,20,0.9,0.0001,0.9174,0.7812,0.9091,0.8403,0.9708,0.914,120.503,100.0235,21.727,85,17.5,85,56,29,32.25,50,14,161,5
26,run_0026,32,0.4,24,0.0003,5,8,20,0.9,0.0001,0.8565,0.6279,0.9818,0.766,0.9451,0.7959,113.3053,83.7219,30.06,78,32.7,85,56,29,32.25,54,32,143,1
27,run_0027,32,0.4,24,0.0003,8,4,20,0.9,0.0001,0.9043,0.7391,0.9273,0.8226,0.9675,0.9048,130.08,106.5701,25.5583,84,19.5,85,56,29,32.25,51,18,157,4
28,run_0028,32,0.4,24,0.0003,8,8,20,0.9,0.0001,0.9174,0.7727,0.9273,0.843,0.9638,0.8671,129.1498,86.7152,47.0872,87,40.2,85,56,29,32.25,51,15,160,4
29,run_0029,32,0.4,24,0.0005,5,4,20,0.9,0.0001,0.913,0.7692,0.9091,0.8333,0.9683,0.8996,121.9815,94.2632,28.6607,83,17.7,85,56,29,32.25,50,15,160,5
30,run_0030,32,0.4,24,0.0005,5,8,20,0.9,0.0001,0.8652,0.6395,1.0,0.7801,0.9649,0.8786,116.1532,81.2096,37.163,70,27.9,85,56,29,32.25,55,31,144,0
31,run_0031,32,0.4,24,0.0005,8,4,20,0.9,0.0001,0.9174,0.75,0.9818,0.8504,0.9703,0.8732,129.3582,98.0686,34.5744,82,18.2,85,56,29,32.25,54,18,157,1
32,run_0032,32,0.4,24,0.0005,8,8,20,0.9,0.0001,0.9,0.7222,0.9455,0.8189,0.9669,0.8756,118.6113,85.3329,35.4463,69,29.0,85,56,29,32.25,52,20,155,3
33,run_0033,32,0.4,32,0.0003,5,4,20,0.9,0.0001,0.9217,0.8033,0.8909,0.8448,0.9634,0.8857,120.0506,94.954,25.9416,99,20.3,85,56,29,32.25,49,12,163,6
34,run_0034,32,0.4,32,0.0003,5,8,20,0.9,0.0001,0.8783,0.6709,0.9636,0.791,0.9594,0.8699,112.8614,82.7551,31.4642,59,23.6,85,56,29,32.25,53,26,149,2
35,run_0035,32,0.4,32,0.0003,8,4,20,0.9,0.0001,0.8826,0.675,0.9818,0.8,0.9698,0.8994,130.9676,99.7551,35.5663,85,20.6,85,56,29,32.25,54,26,149,1
36,run_0036,32,0.4,32,0.0003,8,8,20,0.9,0.0001,0.913,0.7778,0.8909,0.8305,0.9571,0.8552,125.6008,86.1974,42.6583,66,31.1,85,56,29,32.25,49,14,161,6
37,run_0037,32,0.4,32,0.0005,5,4,20,0.9,0.0001,0.8957,0.6962,1.0,0.8209,0.9746,0.9074,122.4795,92.5238,31.7195,69,14.4,85,56,29,32.25,55,24,151,0
38,run_0038,32,0.4,32,0.0005,5,8,20,0.9,0.0001,0.8957,0.7123,0.9455,0.8125,0.9602,0.8288,114.1074,77.4929,40.3826,61,24.8,85,56,29,32.25,52,21,154,3
39,run_0039,32,0.4,32,0.0005,8,4,20,0.9,0.0001,0.8783,0.6667,0.9818,0.7941,0.9668,0.8927,127.9507,94.6453,37.9227,64,14.7,85,56,29,32.25,54,27,148,1
40,run_0040,32,0.4,32,0.0005,8,8,20,0.9,0.0001,0.9043,0.726,0.9636,0.8281,0.9677,0.9027,125.1709,80.7144,47.0071,65,29.6,85,56,29,32.25,53,20,155,2
41,run_0041,32,0.4,64,0.0003,5,4,20,0.9,0.0001,0.8522,0.618,1.0,0.7639,0.9663,0.9054,126.6656,89.4675,39.5662,60,14.2,85,56,29,32.25,55,34,141,0
42,run_0042,32,0.4,64,0.0003,5,8,20,0.9,0.0001,0.8609,0.6353,0.9818,0.7714,0.9487,0.808,119.2415,74.4024,48.0374,53,24.1,85,56,29,32.25,54,31,144,1
43,run_0043,32,0.4,64,0.0003,8,4,20,0.9,0.0001,0.8652,0.6463,0.9636,0.7737,0.9539,0.8623,133.8022,95.8367,38.7796,54,14.6,85,56,29,32.25,53,29,146,2
44,run_0044,32,0.4,64,0.0003,8,8,20,0.9,0.0001,0.8957,0.7013,0.9818,0.8182,0.9615,0.8749,129.2417,83.4083,50.2023,45,22.4,85,56,29,32.25,54,23,152,1
45,run_0045,32,0.4,64,0.0005,5,4,20,0.9,0.0001,0.913,0.7612,0.9273,0.8361,0.9633,0.8825,125.0208,89.5364,40.5778,40,9.5,85,56,29,32.25,51,16,159,4
46,run_0046,32,0.4,64,0.0005,5,8,20,0.9,0.0001,0.8652,0.6395,1.0,0.7801,0.9488,0.7982,119.3279,66.9026,56.1384,59,27.6,85,56,29,32.25,55,31,144,0
47,run_0047,32,0.4,64,0.0005,8,4,20,0.9,0.0001,0.8565,0.625,1.0,0.7692,0.9518,0.8418,135.7213,89.857,52.2723,55,14.1,85,56,29,32.25,55,33,142,0
48,run_0048,32,0.4,64,0.0005,8,8,20,0.9,0.0001,0.8652,0.6463,0.9636,0.7737,0.9565,0.8733,129.387,74.5624,56.3329,57,29.1,85,56,29,32.25,53,29,146,2
49,run_0049,64,0.3,24,0.0003,5,4,20,0.9,0.0001,0.887,0.6835,0.9818,0.806,0.9579,0.8642,119.2869,101.2885,18.4204,132,18.7,85,56,29,32.25,54,25,150,1
50,run_0050,64,0.3,24,0.0003,5,8,20,0.9,0.0001,0.8913,0.6923,0.9818,0.812,0.9543,0.8466,115.3381,86.3143,30.5651,72,18.8,85,56,29,32.25,54,24,151,1
51,run_0051,64,0.3,24,0.0003,8,4,20,0.9,0.0001,0.8913,0.7027,0.9455,0.8062,0.951,0.8152,129.9253,110.2212,20.2147,135,18.0,85,56,29,32.25,52,22,153,3
52,run_0052,64,0.3,24,0.0003,8,8,20,0.9,0.0001,0.8739,0.6585,0.9818,0.7883,0.9626,0.8862,122.4566,91.0585,33.8486,100,28.7,85,56,29,32.25,54,28,147,1
53,run_0053,64,0.3,24,0.0005,5,4,20,0.9,0.0001,0.8957,0.7123,0.9455,0.8125,0.9608,0.8907,124.6389,100.2804,26.1069,73,9.8,85,56,29,32.25,52,21,154,3
54,run_0054,64,0.3,24,0.0005,5,8,20,0.9,0.0001,0.8826,0.675,0.9818,0.8,0.9602,0.8533,116.7852,81.0667,38.5734,68,18.4,85,56,29,32.25,54,26,149,1
