run,folder,hidden_dim,n_bins,lr,pca_var,pca_dims,TP,FP,TN,FN,F1,AUROC
1,run_001,32,4,0.0001,0.8,17,30,20,223,25,0.5714,0.8673
2,run_002,32,4,0.0001,0.9,47,50,70,173,5,0.5714,0.8543
3,run_003,32,4,0.0001,0.95,79,43,66,177,12,0.5244,0.7999
4,run_004,32,4,0.0005,0.8,17,30,10,233,25,0.6316,0.8906
5,run_005,32,4,0.0005,0.9,47,42,55,188,13,0.5526,0.865
6,run_006,32,4,0.0005,0.95,79,45,56,187,10,0.5769,0.8266
7,run_007,32,8,0.0001,0.8,17,34,36,207,21,0.544,0.8525
8,run_008,32,8,0.0001,0.9,47,41,56,187,14,0.5395,0.8294
9,run_009,32,8,0.0001,0.95,79,41,57,186,14,0.5359,0.7993
10,run_010,32,8,0.0005,0.8,17,41,41,202,14,0.5985,0.8878
11,run_011,32,8,0.0005,0.9,47,49,73,170,6,0.5537,0.8477
12,run_012,32,8,0.0005,0.95,79,45,61,182,10,0.559,0.8205
13,run_013,64,4,0.0001,0.8,17,23,8,235,32,0.5349,0.8195
14,run_014,64,4,0.0001,0.9,47,47,62,181,8,0.5732,0.8477
15,run_015,64,4,0.0001,0.95,79,46,70,173,9,0.538,0.8122
16,run_016,64,4,0.0005,0.8,17,26,13,230,29,0.5532,0.8577
17,run_017,64,4,0.0005,0.9,47,50,61,182,5,0.6024,0.8723
18,run_018,64,4,0.0005,0.95,79,48,61,182,7,0.5854,0.8441
19,run_019,64,8,0.0001,0.8,17,26,7,236,29,0.5909,0.8588
20,run_020,64,8,0.0001,0.9,47,42,50,193,13,0.5714,0.8461
21,run_021,64,8,0.0001,0.95,79,43,64,179,12,0.5309,0.8055
22,run_022,64,8,0.0005,0.8,17,26,13,230,29,0.5532,0.8514
23,run_023,64,8,0.0005,0.9,47,40,44,199,15,0.5755,0.8606
24,run_024,64,8,0.0005,0.95,79,44,62,181,11,0.5466,0.8206
